order_details_id,order_id,pizza_id,quantity
1,1,hawaiian_m,1.00
2,2,classic_dlx_m,1.00
3,2,five_cheese_l,1.00
4,2,ital_supr_l,1.00
5,2,mexicana_m,1.00
6,2,thai_ckn_l,1.00
7,3,ital_supr_m,1.00
8,3,prsc_argla_l,1.00
9,4,ital_supr_m,1.00
10,5,ital_supr_m,1.00
11,6,bbq_ckn_s,1.00
12,6,the_greek_s,1.00
13,7,spinach_supr_s,1.00
14,8,spinach_supr_s,1.00
15,9,classic_dlx_s,1.00
16,9,green_garden_s,1.00
17,9,ital_cpcllo_l,1.00
18,9,ital_supr_l,1.00
19,9,ital_supr_s,1.00
20,9,mexicana_s,1.00
21,9,spicy_ital_l,1.00
22,9,spin_pesto_l,1.00
23,9,veggie_veg_s,1.00
24,10,mexicana_l,1.00
25,10,southw_ckn_l,1.00
26,11,bbq_ckn_l,1.00
27,11,cali_ckn_l,1.00
28,11,cali_ckn_m,1.00
29,11,pepperoni_l,1.00
30,12,cali_ckn_l,1.00
31,12,cali_ckn_s,1.00
32,12,ckn_pesto_l,1.00
33,12,ital_supr_m,1.00
34,13,mexicana_l,1.00
35,14,the_greek_s,1.00
36,15,big_meat_s,1.00
37,15,five_cheese_l,1.00
38,15,soppressata_l,1.00
39,15,the_greek_s,1.00
40,16,four_cheese_l,1.00
41,16,napolitana_s,1.00
42,16,thai_ckn_l,1.00
43,17,bbq_ckn_l,1.00
44,17,calabrese_m,1.00
45,17,five_cheese_l,1.00
46,17,four_cheese_m,1.00
47,17,ital_supr_m,1.00
48,17,ital_veggie_s,1.00
49,17,mediterraneo_m,2.00
50,17,mexicana_l,1.00
51,17,peppr_salami_s,1.00
52,17,spinach_fet_l,1.00
53,18,napolitana_l,1.00
54,19,ital_cpcllo_l,1.00
55,19,sicilian_l,1.00
56,20,big_meat_s,1.00
57,20,five_cheese_l,1.00
58,21,ital_cpcllo_l,1.00
59,22,five_cheese_l,1.00
60,22,ital_cpcllo_m,1.00
61,22,southw_ckn_l,1.00
62,23,southw_ckn_s,1.00
63,24,bbq_ckn_m,1.00
64,24,ital_cpcllo_m,1.00
65,24,pepperoni_m,1.00
66,24,prsc_argla_s,1.00
67,25,sicilian_m,1.00
68,25,thai_ckn_l,1.00
69,26,classic_dlx_s,1.00
70,26,veggie_veg_l,1.00
71,27,bbq_ckn_l,1.00
72,27,classic_dlx_m,1.00
73,27,spinach_fet_l,1.00
74,28,ckn_alfredo_s,1.00
75,29,green_garden_s,1.00
76,30,thai_ckn_l,1.00
77,31,mexicana_m,1.00
78,31,pepperoni_s,1.00
79,32,big_meat_s,1.00
80,32,green_garden_l,1.00
81,32,ital_cpcllo_l,1.00
82,32,ital_supr_m,1.00
83,33,bbq_ckn_l,1.00
84,33,green_garden_s,1.00
85,34,the_greek_s,1.00
86,35,green_garden_m,1.00
87,35,pep_msh_pep_l,1.00
88,35,pepperoni_m,1.00
89,35,thai_ckn_l,1.00
90,36,bbq_ckn_m,1.00
91,36,classic_dlx_m,1.00
92,37,ital_supr_l,1.00
93,37,mexicana_l,1.00
94,38,hawaiian_s,1.00
95,38,ital_cpcllo_l,1.00
96,39,ital_supr_l,1.00
97,40,four_cheese_l,1.00
98,40,southw_ckn_s,1.00
99,41,four_cheese_m,1.00
100,41,green_garden_s,1.00
101,42,big_meat_s,1.00
102,42,five_cheese_l,1.00
103,42,mexicana_l,1.00
104,42,peppr_salami_m,1.00
105,43,ckn_alfredo_m,1.00
106,43,ital_supr_m,1.00
107,43,peppr_salami_l,1.00
108,44,spin_pesto_s,1.00
109,45,four_cheese_l,1.00
110,45,hawaiian_s,1.00
111,45,thai_ckn_m,1.00
112,46,ckn_pesto_l,1.00
113,46,classic_dlx_l,1.00
114,46,thai_ckn_m,1.00
115,47,southw_ckn_l,1.00
116,47,veggie_veg_s,1.00
117,48,ckn_pesto_m,1.00
118,48,green_garden_s,1.00
119,48,prsc_argla_l,1.00
120,48,spicy_ital_l,1.00
